Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Billingstad skole;974578263;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
Bindalseidet skole Sa (privat);975286444;Nordland fylke;Bindal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;16;Antall personer
Binde skole;975268853;Trøndelag fylke;Steinkjer kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Bingsfoss ungdomsskole;975272729;Viken fylke;Lillestrøm kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;38;Antall personer
Biri ungdomsskole;975294781;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;16;Antall personer
Biristrand skole;975274713;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Birkeland skole;975283259;Agder fylke;Birkenes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Birkenlund skole;975283003;Agder fylke;Arendal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Birralee International School Trondheim AS - Avd skole (privat);973358502;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;24;Antall personer
Bispehaugen skole;975278867;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Biss Gausel (privat);820332342;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;34;Antall personer
Biss Sentrum AS (privat);918535705;Rogaland fylke;Stavanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;12;Antall personer
Bjarnetjønna skole;975286584;Nordland fylke;Alstahaug kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Bjelland skole;975271617;Agder fylke;Lindesnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Bjerka skole;975286932;Nordland fylke;Hemnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Bjerkaker skole;974566257;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Bjerkelund skole;975296482;Møre og Romsdal fylke;Kristiansund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;17;Antall personer
Bjerkely skole (privat);973915886;Vestfold og Telemark fylke;Tønsberg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;9;Antall personer
Bjerkreim skule;974623536;Rogaland fylke;Bjerkreim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Bjerkvik barne- og ungdomsskole;875288512;Nordland fylke;Narvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;22;Antall personer
Bjoa skule;975281116;Rogaland fylke;Vindafjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;5;Antall personer
Bjoneroa skole;875273892;Innlandet fylke;Gran kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Bjordal skule;975272060;Vestland fylke;Høyanger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Bjorøy skule;875287702;Vestland fylke;Øygarden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Bjølsen skole;974589680;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;52;Antall personer
Bjørgum skule;975281949;Vestland fylke;Voss kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Bjørgvin Montessoriskole (privat);992780010;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;12;Antall personer
Bjørkelangen skole;974583674;Viken fylke;Aurskog-Høland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;50;Antall personer
Bjørkeng oppvekstsenter - Avd skole;975285561;Troms og Finnmark fylke;Målselv kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Bjørkly skole (privat);979984766;Trøndelag fylke;Namsos kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;15;Antall personer
Bjørlien skole;975299414;Viken fylke;Vestby kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;37;Antall personer
Bjørndal skole;974590514;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Bjørndalsskogen skole;974738627;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Bjørnegård skole;974552310;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Bjørnemyr skole;975298671;Viken fylke;Nesodden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Bjørnholt ungdomsskole;980953602;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Bjørnsletta skole;974590603;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;59;Antall personer
Bjørnsveen ungdomsskole;975290603;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Bjøråsen skole;974590441;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;21;Antall personer
Blakstad skole;979200293;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;34;Antall personer
Blakstadheia skole - Avd skole;974583313;Agder fylke;Froland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Bleik og Omegn Montessori Skolelag (privat);995111322;Nordland fylke;Andøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;11;Antall personer
Bleikvassli skole;975286940;Nordland fylke;Hemnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Blindheim barneskole;974573431;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;47;Antall personer
Blindheim ungdomsskole;974573547;Møre og Romsdal fylke;Ålesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;41;Antall personer
Blokkhaugen skole;974737817;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;28;Antall personer
Blomdalen ungdomsskole;974615738;Agder fylke;Lindesnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Blomhaug skole;975274721;Innlandet fylke;Gjøvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Blommenholm skole;974552035;Viken fylke;Bærum kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Blomvåg skule;975286053;Vestland fylke;Øygarden kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;13;Antall personer
Blussuvoll skole;975279103;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;46;Antall personer
Blystadlia skole;974586533;Viken fylke;Rælingen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;20;Antall personer
Bodalen Friskole (privat);990258570;Møre og Romsdal fylke;Averøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;11;Antall personer
Bodøsjøen skole;986755063;Nordland fylke;Bodø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Boftsa oppvekstsenter - Avdeling skole;975280233;Troms og Finnmark fylke;Tana kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;6;Antall personer
Bogafjell skole;979847548;Rogaland fylke;Sandnes kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;42;Antall personer
Bogstad skole;987865997;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
Bokemoa skole;975271080;Vestfold og Telemark fylke;Sandefjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;36;Antall personer
Bokn skule;975275256;Rogaland fylke;Bokn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Bolga oppvekstsenter - Avd skole;975287327;Nordland fylke;Meløy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;3;Antall personer
Bolsøya skole;973994646;Møre og Romsdal fylke;Molde kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;9;Antall personer
Bolteløkka skole;974589702;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;32;Antall personer
Bondi skole;974578212;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Bore skule;975275760;Rogaland fylke;Klepp kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;40;Antall personer
Bore ungdomsskule;975267679;Rogaland fylke;Klepp kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Borge skole;974565293;Viken fylke;Fredrikstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Borge skole;975277860;Vestfold og Telemark fylke;Porsgrunn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Borge ungdomsskole;974565277;Viken fylke;Fredrikstad kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;38;Antall personer
Borgen barneskole;975267636;Viken fylke;Sarpsborg kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Borgen skole;975299503;Viken fylke;Ullensaker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;16;Antall personer
Borgen ungdomsskole;974578336;Viken fylke;Asker kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;39;Antall personer
Borgheim ungdomsskole;975271250;Vestfold og Telemark fylke;Færder kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;52;Antall personer
Borgtun skole;974566265;Troms og Finnmark fylke;Tromsø kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;38;Antall personer
Borgund skule;975276236;Vestland fylke;Lærdal kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;7;Antall personer
Borhaug skole;975271382;Agder fylke;Farsund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;15;Antall personer
Borkedalen skole;974612623;Agder fylke;Lillesand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;38;Antall personer
Borkenes skole;975289532;Troms og Finnmark fylke;Kvæfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;48;Antall personer
Borre ungdomsskole;974605759;Vestfold og Telemark fylke;Horten kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;35;Antall personer
Bossekop skole;975279804;Troms og Finnmark fylke;Alta kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Botne skole;975289656;Vestfold og Telemark fylke;Holmestrand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Botngård skole;975282554;Trøndelag fylke;Ørland kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;54;Antall personer
Botnhamn skole - Grunnskole 1.-10.;975285375;Troms og Finnmark fylke;Senja kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;8;Antall personer
Bragernes skole;975284352;Viken fylke;Drammen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;27;Antall personer
Brakahaug skole;979577222;Rogaland fylke;Haugesund kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;14;Antall personer
Brakanes barne- og ungdomsskule;975281817;Vestland fylke;Ulvik kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Brandal Friskule (privat);988427535;Møre og Romsdal fylke;Hareid kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Privat;Alle trinn;Begge kjønn;6;Antall personer
Brandbu barneskole;917611386;Innlandet fylke;Gran kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;28;Antall personer
Brandbu ungdomsskole;975273806;Innlandet fylke;Gran kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;26;Antall personer
Brandengen skole;975284441;Viken fylke;Drammen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;47;Antall personer
Brandsfjord barne- og ungdomsskole;975282589;Trøndelag fylke;Åfjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Brandsøy skule;975271889;Vestland fylke;Kinn kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Brandval skole;974576031;Innlandet fylke;Kongsvinger kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;12;Antall personer
Brannfjell skole;974590581;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;43;Antall personer
Bratsberg skole;975278883;Trøndelag fylke;Trondheim kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;10;Antall personer
Bratsbergkleiva skole;975278026;Vestfold og Telemark fylke;Skien kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;31;Antall personer
