Enhetsnavn;EnhetsId;Fylke;Kommune;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Haugsbygd ungdomsskole;975299708;Viken fylke;Ringerike kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Haugtun skole;975272737;Viken fylke;Lillestrøm kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;11;Antall personer
Haukedalen skole;974738562;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;34;Antall personer
Haukeland skole;974737930;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Haukerød skole;974594285;Vestfold og Telemark fylke;Sandefjord kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;37;Antall personer
Hauketo skole;974590565;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;33;Antall personer
Hauknes skole;975287068;Nordland fylke;Rana kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;23;Antall personer
Haukås skole;974738066;Vestland fylke;Bergen kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;18;Antall personer
Haukås skole;975283496;Møre og Romsdal fylke;Hustadvika kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;24;Antall personer
Haukåsen skole;974590670;Oslo fylke;Oslo kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;30;Antall personer
Haumyrheia skole;874598852;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;29;Antall personer
Haus skule;975286193;Vestland fylke;Osterøy kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;19;Antall personer
Hauso barne- og ungdomsskule;975281787;Vestland fylke;Ullensvang kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;16;Antall personer
Havlimyra skole;988110833;Agder fylke;Kristiansand kommune;Grunnskole;Fakta om opplæringa;Elevar, lærarar, skolar;Talet på lærarar;2019-2020;Offentlig;Alle trinn;Begge kjønn;25;Antall personer
